"","B","C1","C2","D","E","F","G","H","I","J","K","L","M","N","P","Q","T","U","X","Y"
"634","c","b","c","b","c","c","a","c","b","b","c","b","a","a","a","b","c","c","b","b"
"635","b","a","b","a","a","a","a","a","a","a","a","b","c","c","c","c","c","a","c","b"
"636","a","a","a","a","c","a","a","a","c","b","c","b","a","a","a","a","a","a","a","a"
"637","a","a","a","a","c","a","b","a","a","c","a","a","b","c","a","a","a","a","a","b"
"638","a","b","b","b","c","c","a","b","b","a","b","c","a","a","a","c","c","c","c","a"
"639","a","b","a","b","a","a","b","b","c","b","c","a","b","b","a","a","c","b","a","a"
"640","b","a","a","b","b","c","a","b","b","b","b","c","a","a","c","a","a","a","a","a"
"641","a","b","c","b","a","c","a","a","b","b","c","b","a","b","c","a","c","c","b","a"
"642","a","a","a","a","c","a","a","c","a","c","b","c","a","a","a","a","a","a","c","a"
"643","c","b","c","a","a","c","a","a","b","c","c","b","a","a","a","b","c","a","c","a"
"644","a","a","a","b","a","c","b","b","a","b","c","a","b","a","a","a","a","a","a","a"
"645","a","a","a","a","c","a","a","c","b","b","c","c","a","a","b","c","b","b","a","b"
"646","a","c","a","b","a","c","b","a","b","b","c","a","a","a","a","a","a","b","c","c"
"647","c","a","a","c","c","c","a","c","b","b","c","c","c","a","c","a","b","b","c","a"
"648","c","a","b","b","c","c","c","a","b","b","c","a","a","a","a","a","c","c","c","b"
"649","b","a","a","b","c","c","a","c","c","b","c","a","b","a","c","c","c","a","a","b"
"650","a","c","a","c","c","c","a","c","b","c","b","c","b","b","a","a","a","c","b","c"
"651","a","a","a","a","c","a","a","b","b","b","a","c","c","c","a","c","a","a","a","a"
"652","a","a","a","b","a","a","a","a","c","b","c","c","c","c","a","c","a","b","a","a"
"653","b","c","a","b","a","c","a","c","b","a","b","c","a","a","c","a","a","a","c","a"
"654","a","c","a","b","a","c","a","a","b","b","c","c","a","a","c","a","a","c","a","b"
"655","b","a","a","c","c","b","a","c","b","c","c","b","a","a","c","c","b","a","b","c"
"656","a","a","a","b","a","b","a","a","a","b","c","a","b","a","c","c","a","a","a","a"
"657","b","a","a","c","b","a","c","c","c","b","c","b","a","a","c","c","a","a","a","a"
"658","b","c","c","b","b","c","a","b","c","b","c","b","a","a","c","a","c","c","a","a"
"659","a","a","a","b","a","b","a","a","a","b","b","c","c","c","a","a","a","a","a","a"
"660","b","a","c","c","c","a","a","a","a","c","c","b","a","a","c","a","a","c","c","b"
"661","c","a","c","a","a","a","a","a","b","b","c","a","b","b","a","a","b","b","b","c"
"662","a","c","b","b","a","b","a","a","a","b","c","a","c","c","a","a","a","c","b","a"
"663","a","a","a","a","a","b","a","a","c","a","b","a","b","c","a","b","a","a","c","a"
"664","b","a","a","b","c","c","a","a","b","c","a","a","c","b","b","c","b","a","b","a"
"665","a","c","a","b","a","b","a","a","b","a","c","b","a","a","a","a","a","a","c","a"
"666","a","c","b","c","c","b","a","a","b","b","b","c","b","a","c","c","c","b","c","a"
"667","c","a","c","b","a","b","a","a","c","c","a","b","a","a","b","b","c","b","c","b"
"668","c","a","c","a","b","b","a","b","a","b","c","b","a","b","a","a","a","a","a","a"
"669","a","c","c","b","c","a","a","c","b","b","a","a","b","a","a","a","c","b","b","a"
"670","b","a","b","b","b","c","a","c","b","b","c","a","b","c","c","a","c","a","c","b"
"671","a","a","b","b","c","c","a","c","b","a","c","a","b","a","b","b","a","c","a","c"
"672","b","c","a","b","c","b","a","c","a","a","c","a","b","c","a","b","a","b","c","a"
"673","a","a","a","c","a","a","b","c","b","c","a","b","a","a","a","a","a","b","c","c"
"674","b","a","c","b","b","c","a","b","c","b","c","b","a","a","c","a","c","a","b","b"
"675","a","b","b","c","a","a","a","a","b","b","c","a","b","b","c","a","c","a","c","a"
"676","b","a","b","b","c","c","b","c","c","c","b","c","a","c","c","c","c","c","c","b"
"677","c","b","b","a","c","b","b","a","b","b","c","c","a","a","a","a","a","c","c","a"
"678","c","b","b","b","c","c","a","c","b","b","b","c","a","a","c","a","c","c","c","a"
"679","b","a","a","b","c","a","a","b","b","c","c","b","a","a","b","b","c","a","a","b"
"680","b","c","c","b","a","a","a","a","b","a","b","c","b","c","a","c","a","c","b","c"
"681","a","c","c","b","c","b","b","a","c","b","c","b","c","a","a","a","a","b","b","a"
"682","b","a","a","b","a","b","a","a","b","b","c","b","a","a","a","a","a","a","a","a"
"683","c","a","a","b","b","c","a","b","c","b","a","b","a","a","a","a","a","a","a","c"
"684","a","a","a","a","a","c","a","a","a","b","c","b","a","a","c","a","a","a","a","a"
"685","c","a","c","a","a","a","a","a","c","c","b","c","b","b","a","b","a","b","c","a"
"686","a","b","c","c","c","b","a","c","b","b","b","c","a","a","a","a","c","c","c","a"
"687","a","b","a","b","b","b","a","b","b","a","b","c","a","a","a","a","a","a","c","a"
"688","c","a","c","b","a","b","b","b","c","c","c","c","c","b","c","c","c","b","c","c"
"689","b","a","a","b","b","a","a","b","c","c","a","a","c","b","c","a","a","a","b","a"
"690","c","a","b","b","a","c","a","a","b","c","c","a","b","c","a","a","c","c","c","b"
"691","a","a","b","c","a","a","a","a","b","b","c","a","b","a","c","c","b","b","b","a"
"692","b","b","c","b","a","a","a","a","c","b","c","a","b","c","a","a","a","b","b","a"
"693","b","a","a","c","c","a","a","c","b","a","a","b","a","c","b","b","b","a","b","a"
"694","b","a","b","b","c","a","b","a","b","b","c","a","b","a","a","c","a","a","b","a"
"695","a","a","a","a","c","a","a","c","b","a","c","b","a","a","a","c","c","a","c","b"
"696","c","c","b","b","c","b","a","c","a","b","c","a","b","a","c","a","c","c","c","a"
"697","c","b","c","b","a","c","b","b","c","b","c","b","a","a","c","c","c","c","b","a"
"698","c","c","b","a","c","a","b","a","b","a","a","a","c","c","a","a","a","c","a","a"
"699","c","c","c","a","c","a","a","c","a","b","c","c","c","a","c","a","c","c","c","a"
"700","c","a","c","a","a","a","a","a","a","b","c","c","b","a","c","c","c","b","c","b"
"701","b","c","a","b","b","a","a","a","b","b","c","c","c","c","a","a","a","b","a","b"
"702","a","c","c","c","b","a","a","b","b","a","c","b","a","a","a","a","a","b","b","a"
"703","b","c","c","b","a","a","a","a","a","b","c","a","a","a","c","a","c","b","b","a"
"704","c","a","c","b","c","c","c","c","c","b","c","a","b","a","c","c","a","c","c","c"
"705","a","a","a","a","b","c","a","a","a","a","b","a","b","a","a","a","a","a","c","a"
"706","b","a","c","b","c","c","c","b","b","c","a","b","a","a","c","c","c","b","c","b"
"707","a","b","b","c","b","a","a","b","b","c","c","a","b","a","a","a","c","a","c","a"
"708","a","a","b","c","a","b","a","a","b","b","b","c","a","a","a","a","c","b","c","b"
"709","b","a","c","b","a","a","c","b","b","b","a","b","a","a","a","c","a","a","a","a"
"710","a","c","a","c","b","c","a","c","b","c","b","c","a","a","a","b","a","a","a","a"
"711","b","c","b","b","a","c","a","a","a","b","c","a","b","a","b","c","a","c","c","a"
"712","c","c","a","b","a","c","a","a","c","b","c","c","b","a","c","c","c","b","a","a"
"713","b","b","a","a","c","b","a","c","b","b","b","c","a","a","a","c","a","c","a","a"
"714","a","a","a","b","a","b","a","a","b","a","c","a","c","b","a","a","a","a","c","b"
"715","b","a","c","a","c","b","b","a","b","b","c","c","a","a","a","b","c","c","c","b"
"716","a","a","a","b","a","c","c","a","a","b","c","b","a","a","b","c","b","a","b","c"
"717","c","c","b","a","c","a","a","c","b","b","c","c","c","c","a","b","a","c","c","a"
"718","b","c","a","b","b","c","a","b","b","b","c","a","c","a","a","b","c","b","a","a"
"719","c","c","c","a","b","b","b","c","c","c","b","c","a","a","c","c","a","c","a","a"
"720","b","a","a","b","c","c","a","c","b","c","b","c","a","a","a","c","a","a","a","a"
"721","a","a","a","a","c","c","c","c","b","b","c","a","b","a","b","c","a","c","a","a"
"722","b","b","a","b","a","c","a","a","a","b","a","b","a","a","c","c","c","b","a","a"
"723","a","a","b","a","a","a","a","a","a","b","c","b","a","a","a","b","a","a","a","a"
"724","a","c","a","a","a","a","a","a","c","c","a","b","a","a","c","a","c","b","a","a"
"725","c","a","b","b","b","a","a","b","b","a","c","b","a","b","c","c","c","c","c","b"
"726","c","b","b","a","a","a","a","a","c","b","a","b","a","a","c","a","c","c","c","a"
"727","c","a","a","b","c","a","a","c","b","c","a","b","a","b","c","a","b","a","b","b"
"728","b","a","a","b","b","c","a","c","c","b","c","b","a","a","b","a","b","b","b","c"
"729","a","b","a","b","b","c","c","b","c","b","c","b","a","a","c","a","c","a","a","a"
"730","b","c","c","c","b","b","a","a","a","b","b","c","a","a","b","c","b","c","b","b"
"731","c","a","c","b","a","c","a","c","c","b","c","c","b","c","c","a","c","a","a","b"
"732","a","c","b","a","b","a","a","a","b","b","b","c","a","a","a","a","c","b","c","a"
"733","b","a","a","c","b","a","a","b","b","a","b","c","c","c","b","b","c","a","c","c"
"734","c","a","b","b","a","c","a","a","a","b","c","c","b","a","b","b","a","c","c","a"
"735","b","c","c","b","b","b","a","a","c","b","c","c","b","c","b","b","b","c","b","b"
"736","b","a","a","b","c","a","b","a","b","b","c","b","a","a","b","b","a","b","a","a"
"737","c","a","c","b","a","a","a","a","a","b","b","c","c","a","a","c","a","b","a","a"
"738","a","a","a","b","b","c","a","b","a","a","b","c","a","a","c","c","a","a","c","a"
"739","a","c","a","c","a","a","a","a","a","a","c","c","c","c","c","a","c","b","c","a"
"740","b","b","a","b","c","a","a","c","b","b","c","b","a","a","b","a","a","b","c","a"
"741","b","a","a","b","c","c","a","a","b","b","c","a","b","a","b","b","a","a","a","a"
"742","b","b","c","b","a","c","a","a","b","c","a","b","a","a","a","a","c","a","c","a"
"743","a","c","b","c","a","b","a","a","b","b","a","a","c","c","c","a","c","c","c","a"
"744","c","b","b","a","a","b","a","a","c","c","c","a","b","b","b","b","b","c","c","b"
"745","a","a","c","b","a","c","a","a","b","b","b","c","a","a","b","a","b","a","b","a"
"746","c","b","a","b","b","c","a","a","c","b","a","b","a","a","c","a","b","a","a","c"
"747","b","c","a","b","a","a","a","b","a","b","c","a","b","a","b","c","b","b","a","b"
"748","a","a","a","a","c","b","a","c","b","b","c","c","b","a","a","b","a","a","a","a"
"749","c","c","b","b","a","c","b","b","c","b","c","a","b","a","c","c","a","c","b","a"
"750","b","c","c","c","c","b","a","a","c","b","c","a","b","a","b","b","a","b","b","a"
"751","b","a","c","a","c","c","b","a","a","c","c","a","b","b","a","a","a","a","c","a"
"752","b","c","b","b","b","c","b","c","c","b","a","b","b","b","a","a","c","c","c","a"
"753","b","c","a","b","a","c","a","a","b","b","c","b","a","a","a","c","a","b","b","a"
"754","a","a","a","a","a","a","a","a","c","a","b","c","c","c","a","a","a","a","c","a"
"755","b","b","b","c","a","a","b","b","a","b","c","c","c","c","a","a","a","c","c","a"
"756","a","c","a","b","c","c","b","a","c","c","b","a","c","c","b","b","b","b","b","b"
"757","b","a","c","b","a","c","a","a","c","b","c","c","c","c","a","a","a","c","b","b"
"758","b","a","b","b","b","b","a","a","b","a","b","c","b","c","a","c","a","c","c","a"
"759","a","a","a","c","b","a","a","b","b","b","c","b","a","a","b","b","c","a","a","b"
"760","a","b","a","a","a","b","a","a","b","b","c","a","b","a","a","c","a","b","a","a"
"761","b","a","a","c","c","b","a","c","b","b","c","c","c","c","b","c","b","b","a","c"
"762","b","a","c","b","a","a","a","a","b","c","c","a","b","b","c","a","c","c","c","b"
"763","a","a","a","a","b","a","a","a","c","b","c","a","b","b","c","c","a","a","a","a"
"764","c","b","b","b","a","c","a","a","a","b","c","c","c","c","a","a","a","b","c","a"
"765","b","b","c","c","b","b","a","a","b","b","c","a","b","c","a","b","a","b","c","a"
"766","b","a","a","c","b","b","a","b","b","b","c","b","b","c","a","a","a","a","a","a"
"767","a","a","a","b","c","b","a","a","b","c","a","b","b","a","a","a","a","a","b","b"
"768","a","c","b","c","c","b","b","c","a","b","c","c","c","b","a","a","c","b","c","a"
"769","c","c","c","a","c","a","b","a","b","b","c","b","a","a","a","a","a","c","b","c"
"770","c","b","a","a","b","a","b","a","c","b","c","a","a","a","c","a","a","b","a","a"
"771","b","c","b","c","a","a","a","a","c","b","c","c","b","a","a","a","a","c","b","a"
"772","b","a","b","b","a","c","a","a","a","b","c","c","b","a","a","c","a","b","c","a"
"773","a","c","a","a","c","b","a","c","b","b","c","c","b","c","a","a","a","b","a","c"
"774","c","b","b","b","a","c","a","a","c","b","c","c","b","c","b","b","a","c","c","a"
"775","a","b","c","b","a","c","b","b","b","b","c","c","c","c","a","c","a","c","a","a"
"776","b","c","b","a","a","b","a","a","a","b","c","a","b","a","a","b","a","c","c","a"
"777","a","c","a","b","b","c","a","b","c","b","c","c","c","c","a","a","a","c","a","a"
"778","b","a","b","b","a","c","b","a","b","a","c","b","b","a","c","c","a","b","c","a"
"779","b","c","b","c","c","a","b","a","c","b","a","b","a","a","a","b","a","c","b","a"
"780","b","c","a","b","b","c","a","b","c","b","c","b","b","c","a","a","a","c","a","a"
"781","b","c","a","c","a","b","a","a","c","b","c","b","a","a","c","c","b","b","b","b"
"782","a","a","c","c","b","b","a","b","b","b","c","c","b","b","a","a","a","a","b","a"
"783","c","c","a","b","b","c","a","b","c","b","a","b","b","a","b","a","a","b","a","a"
"784","a","a","a","a","a","b","a","a","a","b","c","a","b","a","b","b","b","a","b","c"
"785","c","a","c","a","a","a","a","a","a","b","c","a","b","a","b","c","b","b","a","c"
"786","b","c","b","c","c","a","a","c","b","a","a","b","a","a","a","b","a","b","a","a"
"787","b","a","a","b","c","b","a","a","b","b","a","b","a","b","b","b","b","a","a","c"
"788","b","c","c","b","a","c","a","a","c","b","c","a","b","c","c","c","c","b","a","a"
"789","b","c","b","b","b","c","a","b","b","c","a","c","c","c","c","c","c","c","c","a"
"790","b","a","c","a","a","b","a","a","a","c","c","a","b","c","a","a","c","b","c","b"
"791","a","a","a","c","b","b","a","b","a","a","c","c","c","b","c","a","c","a","c","b"
"792","b","a","c","b","b","a","a","b","c","b","c","b","a","a","a","a","a","a","b","b"
"793","a","a","a","b","c","b","a","c","c","c","c","a","b","c","b","c","b","a","b","c"
"794","a","a","a","a","a","a","a","a","c","c","b","c","b","b","a","a","b","a","a","c"
"795","b","c","c","a","a","b","a","a","a","a","b","a","b","a","a","a","b","b","c","b"
"796","b","a","a","b","a","c","a","a","a","a","b","c","a","a","a","b","c","b","c","b"
"797","c","a","b","a","b","c","a","a","b","a","b","c","b","c","c","a","b","c","c","c"
"798","a","b","c","b","a","c","a","a","b","b","b","a","b","a","b","a","b","b","a","a"
"799","b","b","b","c","a","c","a","a","b","a","c","a","c","c","b","b","a","c","b","a"
"800","b","a","c","c","a","b","a","a","c","b","c","b","a","a","b","b","b","b","b","c"
"801","b","c","b","c","c","b","b","a","a","b","c","b","a","a","c","c","b","c","b","b"
"802","b","c","c","b","b","c","a","c","c","b","a","b","a","a","c","a","b","c","b","c"
"803","a","a","a","b","b","c","a","b","b","b","c","a","b","a","a","a","a","a","a","a"
"804","b","a","a","b","a","c","a","a","a","b","c","b","a","a","b","b","a","a","a","b"
"805","c","c","c","c","a","c","a","a","a","c","a","c","c","c","c","a","c","c","c","a"
"806","b","c","c","a","a","a","a","a","a","b","c","a","c","c","b","b","a","c","a","a"
"807","a","a","a","a","a","a","a","a","c","b","a","b","a","a","a","a","a","a","a","a"
"808","c","c","b","b","c","a","a","a","b","b","c","a","b","c","c","c","b","c","a","b"
"809","b","a","a","b","a","b","a","a","b","b","c","b","a","a","b","c","b","a","a","c"
"810","c","a","c","b","c","b","a","a","b","b","c","b","b","b","a","a","a","a","b","a"
"811","b","b","b","b","c","c","a","c","b","b","c","b","a","a","a","a","c","c","c","b"
"812","a","c","a","a","c","a","a","c","b","b","c","b","a","a","a","a","a","b","a","a"
"813","c","c","c","a","a","b","a","a","c","b","b","c","a","a","a","b","c","b","c","a"
"814","b","c","b","b","a","c","a","a","c","b","c","a","b","a","a","b","c","c","c","a"
"815","a","a","c","b","b","a","b","b","b","b","c","a","b","a","a","a","c","a","a","b"
"816","c","c","b","b","a","b","a","a","a","b","c","a","b","c","a","a","c","c","c","a"
"817","b","a","a","b","b","c","c","b","b","c","a","b","a","a","a","a","a","b","c","b"
"818","a","c","a","c","a","b","a","a","a","a","c","a","b","c","b","b","a","b","c","a"
"819","b","a","b","b","a","a","a","a","b","b","c","a","b","a","b","b","a","b","c","a"
"820","a","c","a","b","a","a","a","a","b","b","c","a","b","a","b","b","b","b","a","a"
"821","a","a","a","a","c","c","b","a","b","b","b","c","b","a","a","a","b","b","a","c"
"822","a","b","c","b","a","a","a","a","b","a","b","c","b","c","a","a","a","c","a","a"
"823","a","a","b","c","c","b","a","c","b","b","c","a","b","a","a","a","a","a","a","a"
"824","a","c","c","c","b","b","b","a","b","b","c","a","c","b","b","b","b","c","a","b"
"825","a","a","a","a","b","b","a","b","c","c","b","c","a","a","a","a","a","a","b","a"
"826","b","c","b","c","b","a","b","c","c","b","c","b","a","b","c","c","c","c","c","a"
"827","a","a","c","c","b","a","a","b","b","b","c","b","a","a","c","c","c","b","c","c"
"828","a","b","a","b","c","b","b","a","b","a","c","a","a","a","a","a","c","b","a","a"
"829","b","c","c","b","a","c","b","b","b","c","a","b","a","a","a","a","c","b","b","a"
"830","b","c","c","c","b","b","a","b","b","c","b","a","b","c","c","c","c","c","c","a"
"831","b","b","a","b","c","c","b","a","b","b","b","a","b","a","a","a","c","b","a","a"
"832","b","a","b","b","b","c","b","c","c","c","c","a","b","c","c","c","c","b","a","b"
"833","a","a","a","a","a","c","a","a","c","b","c","b","a","a","c","a","a","a","a","a"
"834","c","a","c","b","a","c","b","b","a","b","c","c","c","b","c","c","c","a","b","b"
"835","a","b","b","b","c","c","b","a","b","b","c","a","b","a","a","b","c","c","c","a"
"836","c","b","b","b","a","b","a","c","a","b","c","a","b","a","b","c","a","a","b","a"
"837","b","a","a","b","b","c","a","b","a","b","c","c","b","b","a","b","a","b","a","a"
"838","a","c","a","b","a","c","a","a","a","a","c","c","c","c","c","b","b","b","b","c"
"839","c","a","c","a","a","a","a","a","b","b","c","c","c","c","a","a","a","b","a","a"
"840","b","b","c","c","b","b","a","b","a","b","c","b","a","a","c","a","c","c","b","a"
"841","a","a","c","b","c","a","a","a","b","b","c","a","b","a","c","c","c","a","b","b"
"842","a","a","c","b","c","c","a","b","b","c","a","b","a","a","a","a","a","a","c","b"
"843","b","b","c","b","a","c","a","a","a","b","c","a","b","c","a","a","b","c","b","c"
"844","a","a","a","c","c","b","a","c","b","b","c","b","a","b","a","a","a","a","a","a"
"845","b","c","c","c","a","b","a","a","b","b","b","c","a","a","b","b","b","c","b","b"
"846","b","c","a","c","a","c","b","a","b","b","c","a","c","a","a","a","c","a","a","a"
"847","b","a","a","b","b","c","c","b","c","c","c","b","a","c","a","a","c","a","b","a"
"848","c","a","c","a","a","a","a","a","a","b","c","c","a","a","a","a","a","b","a","a"
"849","a","b","a","c","a","a","a","a","a","b","c","b","a","a","a","a","c","c","a","a"
"850","b","a","a","b","a","b","b","b","a","a","c","a","a","a","c","c","c","a","c","a"
"851","c","b","b","c","c","c","a","c","b","b","c","a","b","c","b","a","a","b","c","a"
"852","a","a","a","b","c","a","b","a","b","b","c","a","c","c","a","a","a","a","c","a"
"853","a","a","a","b","b","c","a","b","b","c","c","c","c","b","c","c","c","b","a","b"
"854","b","a","a","b","a","c","a","a","c","b","b","a","c","a","b","c","a","a","a","a"
"855","c","a","c","b","a","b","b","c","b","a","b","a","c","c","a","a","a","a","c","a"
"856","a","b","a","b","c","c","b","a","b","a","a","c","b","c","c","c","c","c","c","a"
"857","b","a","c","b","b","a","a","b","b","b","c","a","b","a","b","b","b","c","b","c"
"858","b","a","a","b","b","c","a","b","c","b","b","c","a","a","a","a","a","b","a","a"
"859","b","c","b","b","a","c","a","a","b","b","b","c","b","c","a","a","a","c","c","c"
"860","b","a","a","b","b","c","a","b","b","b","c","b","a","a","a","c","a","a","b","a"
"861","a","a","a","a","a","a","b","c","a","a","b","c","c","c","a","c","a","c","c","c"
"862","b","c","a","b","a","b","a","a","c","c","b","c","c","c","c","a","c","b","b","a"
"863","c","a","a","b","c","a","b","a","b","b","c","a","b","c","a","a","a","a","a","a"
"864","b","a","c","b","c","b","a","a","b","b","c","b","a","a","b","a","b","b","b","c"
"865","c","c","b","b","c","a","a","c","b","b","c","b","a","a","b","b","b","c","a","c"
"866","b","c","c","b","b","a","a","b","b","b","c","a","a","a","c","c","b","c","b","b"
"867","a","a","a","b","c","a","a","b","b","b","b","c","a","a","b","b","b","a","a","c"
"868","c","c","b","b","c","c","b","a","b","b","c","b","b","a","c","a","c","b","c","a"
"869","b","a","b","b","b","c","b","a","a","b","c","c","c","c","b","b","a","a","c","a"
"870","b","a","a","b","a","c","a","a","b","b","b","c","a","a","b","b","b","b","b","c"
"871","b","a","a","c","a","b","a","a","a","b","a","a","a","a","c","c","c","a","c","b"
"872","b","c","a","b","b","b","a","b","a","b","c","c","b","a","c","c","c","b","a","a"
"873","b","c","a","b","a","b","a","a","a","a","b","c","a","a","a","c","c","b","c","a"
"874","a","a","c","b","a","c","a","a","b","c","c","a","c","c","a","a","a","a","a","a"
"875","b","a","a","b","a","c","a","a","b","b","c","a","c","b","b","b","b","a","b","c"
"876","c","a","a","b","a","a","b","a","b","b","c","b","a","a","c","a","c","a","a","b"
"877","a","b","b","c","b","a","a","b","a","c","a","b","a","c","c","a","c","b","c","a"
"878","a","c","a","b","b","c","a","b","c","a","b","c","c","c","a","c","c","b","c","a"
"879","a","a","a","a","c","b","a","c","c","b","c","b","a","a","b","c","a","b","a","a"
"880","b","a","a","c","c","a","a","c","c","c","a","b","a","a","b","b","a","b","a","a"
"881","b","c","a","c","a","c","a","a","a","b","c","a","b","a","c","a","a","c","a","a"
"882","b","a","a","c","b","b","a","b","a","b","c","b","a","a","c","c","a","a","a","b"
"883","c","a","c","b","c","c","b","a","a","b","c","b","a","a","a","a","c","a","b","b"
"884","c","c","c","a","a","b","a","a","b","a","b","a","c","c","c","a","c","c","c","a"
"885","a","a","a","c","a","b","a","a","c","b","c","c","c","b","b","b","b","a","a","c"
"886","b","c","c","c","a","c","a","a","b","b","a","b","a","a","a","a","b","b","b","c"
"887","b","a","b","c","a","a","a","a","b","b","c","a","b","c","a","c","c","a","c","b"
"888","a","a","a","a","a","b","a","a","c","b","c","a","b","a","a","a","a","b","a","a"
"889","b","c","c","c","a","a","a","a","c","a","b","c","c","c","a","a","c","c","c","a"
"890","c","c","a","b","a","b","a","a","a","c","c","b","a","a","c","a","c","c","b","b"
"891","a","a","a","c","b","b","c","c","b","c","a","b","a","a","a","a","a","b","b","c"
"892","a","a","a","c","b","b","b","c","b","b","c","c","c","c","a","c","c","a","a","a"
"893","c","c","c","a","a","b","a","a","b","b","c","a","b","c","c","c","b","c","b","b"
"894","c","c","a","b","c","b","a","a","b","b","b","c","a","a","a","a","c","b","a","a"
"895","b","a","a","b","b","c","a","a","b","b","c","b","a","a","a","a","a","b","b","a"
"896","b","a","b","b","a","c","a","a","b","a","b","c","a","b","a","c","c","b","a","c"
"897","a","b","a","a","b","c","a","a","c","a","c","a","b","c","a","a","a","c","c","a"
"898","b","a","a","b","a","b","a","c","b","c","b","c","a","a","b","b","a","a","b","a"
"899","a","a","c","b","a","c","a","a","b","b","b","c","c","b","a","b","a","b","b","b"
"900","b","a","a","b","b","c","c","c","b","b","c","c","b","a","c","a","c","c","c","b"
"901","a","c","a","a","c","a","b","a","b","b","c","b","a","a","c","c","b","b","a","b"
"902","a","a","c","a","a","b","a","a","c","b","c","b","b","b","a","c","a","a","a","a"
"903","b","a","a","c","b","b","a","a","c","c","c","a","b","b","a","a","a","c","a","a"
"904","a","b","a","b","a","c","a","a","c","b","c","a","b","c","b","b","b","a","b","c"
"905","a","b","c","c","a","a","a","a","b","c","c","b","a","b","a","c","c","b","b","a"
"906","a","c","b","b","a","a","a","a","a","b","c","c","c","a","a","c","c","c","c","a"
"907","a","c","a","b","c","b","a","c","b","b","c","c","c","b","c","c","a","b","a","c"
"908","b","b","c","b","a","b","a","a","c","c","b","c","c","c","b","b","a","b","c","b"
"909","a","a","c","c","a","a","a","a","c","b","c","a","b","c","c","a","a","c","c","b"
"910","a","a","a","a","c","a","c","c","b","b","c","a","c","c","a","a","b","a","a","c"
"911","b","c","c","b","c","a","a","c","a","a","b","c","b","b","b","b","a","c","c","a"
"912","a","b","a","a","b","a","b","c","b","b","a","b","a","a","a","a","a","b","a","a"
"913","a","a","a","c","a","a","a","a","c","b","b","c","a","a","b","c","b","b","a","c"
"914","a","c","a","a","a","a","b","b","b","c","c","b","b","b","b","b","b","b","b","a"
"915","c","b","b","a","c","c","a","c","b","b","c","a","b","a","a","a","b","b","a","a"
"916","c","b","b","b","a","c","a","a","c","b","b","a","a","a","a","c","c","c","c","a"
"917","c","a","b","a","a","b","a","a","c","b","c","b","a","c","a","a","a","a","c","a"
"918","b","c","b","c","b","a","a","b","b","b","b","c","c","c","a","a","c","c","c","a"
"919","b","c","b","c","a","c","a","a","b","b","b","c","a","a","c","c","c","c","c","a"
"920","c","c","b","b","a","b","a","a","c","b","b","b","a","a","a","b","a","b","a","a"
"921","c","b","b","a","a","a","a","a","a","a","a","b","c","c","c","c","a","c","c","a"
"922","a","a","a","c","a","a","b","b","c","b","c","b","a","a","a","a","a","a","a","c"
"923","b","c","c","c","a","b","a","a","c","b","c","b","a","a","c","c","b","b","b","b"
"924","a","a","b","b","b","c","a","c","a","b","a","b","a","a","c","a","a","b","b","a"
"925","a","a","a","c","c","a","b","b","b","b","a","b","a","a","a","a","a","a","a","a"
"926","c","c","b","a","a","c","b","b","c","b","c","b","b","a","a","a","a","c","c","a"
"927","a","c","c","c","a","a","a","a","b","b","c","a","b","b","b","b","b","c","b","b"
"928","c","c","c","c","a","a","a","a","b","c","b","c","c","a","a","a","a","c","a","a"
"929","a","a","a","a","a","a","a","a","b","c","b","c","a","a","c","a","c","a","b","b"
"930","b","c","b","c","a","b","a","b","c","a","c","b","a","a","a","c","a","c","c","c"
"931","a","c","a","b","a","a","a","a","c","c","c","c","c","c","a","b","a","b","b","c"
"932","a","c","a","a","c","a","a","b","b","b","c","a","b","a","c","a","c","b","a","a"
"933","a","a","a","a","c","a","b","a","b","b","c","c","b","a","a","a","a","a","a","a"
"934","c","a","c","b","a","a","a","a","b","b","c","b","a","b","a","a","c","c","b","b"
"935","b","b","c","c","a","a","a","b","b","c","a","b","a","a","a","a","a","c","c","a"
"936","b","c","a","a","b","a","a","b","c","b","b","c","b","a","a","a","a","c","a","b"
"937","a","c","a","a","c","c","a","c","b","b","c","c","c","c","c","c","c","b","a","a"
"938","b","a","c","c","a","c","a","c","b","b","b","c","c","c","b","a","b","a","b","c"
"939","b","a","c","b","a","a","b","b","b","b","c","c","c","b","a","a","a","a","b","a"
"940","b","b","b","c","b","b","a","a","b","b","a","b","c","c","a","b","a","c","c","a"
"941","c","b","b","b","a","b","a","a","b","b","c","a","b","a","a","a","a","c","c","a"
"942","c","c","c","a","a","a","a","b","a","b","c","c","c","c","b","b","b","c","b","a"
"943","a","b","b","c","c","a","a","c","b","c","b","c","c","c","c","c","a","c","c","a"
"944","b","c","b","b","b","b","b","c","a","b","c","a","b","a","a","a","a","c","a","a"
"945","c","a","c","b","a","c","a","a","b","c","c","c","c","c","c","a","a","a","c","a"
"946","b","a","b","b","a","c","a","a","c","b","c","b","a","a","b","b","c","a","b","b"
"947","b","a","a","b","a","c","a","a","b","c","c","a","b","b","c","a","b","b","b","c"
"948","a","a","a","b","a","c","a","a","b","b","b","a","c","c","b","a","b","a","a","c"
"949","a","b","c","b","c","c","a","c","b","b","c","a","c","b","b","b","b","c","a","a"
"950","b","b","c","b","a","a","a","a","a","b","a","b","b","c","a","a","b","c","b","a"
